uberID,CATAID,RA,Dec,spec_z,stellar_mass,HUBBLE_TYPE,mag_u,mag_g,mag_r,mag_i,mag_Z,mag_Y,mag_J,mag_H,mag_K,u_g,g_r,r_i,Z_Y,Y_J,J_H,H_K,scaled_mag_u,scaled_mag_g,scaled_mag_r,scaled_mag_i,scaled_mag_Z,scaled_mag_Y,scaled_mag_J,scaled_mag_H,scaled_mag_K,scaled_u_g,scaled_g_r,scaled_r_i,scaled_Z_Y,scaled_Y_J,scaled_J_H,scaled_H_K,scaled_spec_z,scaled_stellar_mass,pca_1,pca_2,umap_1,umap_2,tsne_1,tsne_2,kmeans_cluster,gmm_cluster,subset_kmeans_cluster,subset_gmm_cluster
213000552301457,77345,213.06327775142103,0.0538336304269808,0.05392,9.96123,E,19.30769,17.735785,16.809856,16.375607,16.484247,16.009537,15.955236,15.72483,15.8601055,1.5719051,0.9259281,0.43424988,0.47471046,0.05430031,0.23040676,-0.13527584,-1.5535876,-2.0567458,-2.350317,-2.3942094,-1.9872003,-2.2752628,-2.0756161,-2.0437799,-1.7641729,0.23228952,-0.13135889,0.3001113,3.2303472,-1.2629272,0.033324085,-1.4084316,-1.6233245,-0.7421092,-6.574457792070972,-0.5434700091204011,7.101108,-2.7297812,,,6,2,4,2
213000562902450,77389,213.053250166219,0.147415212225638,0.05395,9.222227,Sd-Irr,20.583672,19.286781,18.704191,18.43111,18.375463,18.101173,18.147518,18.096655,18.054974,1.2968903,0.5825901,0.27308083,0.27429008,-0.046344757,0.050863266,0.04168129,-0.48349106,-0.45245984,-0.054155618,0.07090902,0.30107805,0.20295379,0.47066003,0.6615829,0.76739544,-0.23767659,-1.0440625,-0.5430747,0.90114146,-2.2165642,-1.2256452,-0.45814562,-1.6230246,-1.9469432,0.3531546858034512,-3.169406799956247,3.7385356,4.55862,-0.1044608131051063,-72.03411102294922,3,6,5,3
213000570102063,77377,213.046511786502,0.110884321309184,0.05303,8.6822605,Sd-Irr,20.58337,19.453018,18.937263,18.650284,19.031849,18.593002,18.400434,18.24031,18.398506,1.130352,0.5157547,0.28697968,0.4388466,0.19256783,0.16012383,-0.1581955,-0.4837438,-0.2805114,0.22835599,0.33375865,1.0952721,0.7856834,0.76441556,0.8254402,1.1636271,-0.5222696,-1.2217326,-0.4703603,2.8135517,0.04719194,-0.45950386,-1.5315136,-1.6322181,-2.8272777,1.1840036798594344,-2.704615386559257,0.36906368,2.5595329,,,0,4,5,3
213000574006493,91694,213.04273840256,0.52816559230751,0.05368,8.957174,Sd-Irr,20.901028,19.640581,19.0817,18.838137,18.758778,18.576046,18.520433,18.229107,18.359257,1.2604465,0.55888176,0.2435627,0.18273163,0.055612564,0.29132652,-0.13014984,-0.2173418,-0.08650418,0.40342963,0.55904627,0.7648693,0.7655932,0.90379107,0.81266093,1.1183566,-0.29995435,-1.107087,-0.69750434,-0.16291459,-1.2504933,0.46049693,-1.3809042,-1.6257228,-2.379072,1.526792541008784,-3.3309087494408223,3.5612543,5.344873,,,3,6,6,0
213000593606039,91692,213.024389439351,0.485360589741922,0.05478,10.413527,S0-Sa,17.971706,16.600542,15.899445,15.58906,15.371199,15.14196,14.977966,14.768701,14.888123,1.3711643,0.7010975,0.31038475,0.22923851,0.16399384,0.20926571,-0.11942196,-2.6740038,-3.2309928,-3.4538455,-3.337497,-3.3339338,-3.3031864,-3.2106888,-3.1343644,-2.8852613,-0.110751465,-0.7290315,-0.34791228,0.37756988,-0.22355372,-0.11491818,-1.323294,-1.6147305,-0.0047079492,-9.714723183042482,-1.2929007363670515,9.278654,-2.6739092,,,6,2,2,1
213000638605840,91691,212.981961959056,0.466555070881448,0.05477,10.517114,S0-Sa,18.862078,17.12078,16.218115,15.882907,15.561115,15.3089485,15.12065,14.918809,15.030767,1.7412968,0.9026661,0.33520794,0.25216675,0.18829823,0.20184135,-0.1119585,-1.927298,-2.6928794,-3.0675788,-2.9850929,-3.104144,-3.105335,-3.0449653,-2.9631472,-2.7207344,0.52175874,-0.19319688,-0.21804512,0.6440328,0.0067364178,-0.16697818,-1.2832141,-1.6148304,0.16417538,-8.858939867777934,-0.3999992663967324,8.763477,-3.1084213,,,6,2,4,1
213000640701698,77373,212.980086000177,0.076350661332813,0.03959,9.022079,Sd-Irr,19.19551,18.115093,17.73584,17.597618,17.5774,17.499475,17.420776,17.043472,17.742767,1.0804176,0.3792534,0.13822174,0.07792473,0.07869911,0.37730408,-0.69929504,-1.6476657,-1.6644047,-1.2279139,-0.92867905,-0.66453904,-0.50995094,-0.37343097,-0.5397034,0.40729567,-0.6076013,-1.5845972,-1.2486153,-1.3809386,-1.0317425,1.0633764,-4.4372983,-1.7665229,-2.273254,-2.644756860744819,-4.899709241446629,5.624157,2.501079,,,5,4,3,4
213000643306172,91689,212.97755842230487,0.497872159974635,0.0544,10.234505,E,19.018745,17.447727,16.61397,16.27743,16.058998,15.867554,15.733773,15.501443,15.688805,1.5710182,0.8337574,0.33654022,0.1914444,0.13378048,0.23233032,-0.18736172,-1.7959093,-2.3547,-2.5877552,-2.511951,-2.5017304,-2.4434874,-2.3328395,-2.2985804,-1.9617519,0.2307739,-0.37637848,-0.21107504,-0.061658263,-0.5098328,0.046812207,-1.6881405,-1.6185278,-0.29657623,-7.196360967100912,-1.3522961582261268,7.495891,-2.6025732,,,6,2,4,2
213000646503254,617693,212.974559876758,0.223024257854509,0.05554,11.031293,E,17.068527,15.282928,14.433567,14.147816,13.836103,13.633206,13.461655,13.268724,13.400978,1.7855988,0.8493614,0.28575134,0.20289707,0.1715517,0.19293022,-0.13225365,-3.431451,-4.5938764,-5.2306647,-5.065948,-5.1913233,-5.0907907,-4.971844,-4.8452744,-4.6005387,0.5974653,-0.33489794,-0.47678658,0.071440175,-0.15194103,-0.22946355,-1.392202,-1.6071359,1.0024675,-14.585604939886595,-0.3955136785877879,10.967611,-2.2620132,,,6,2,2,1
213000651811186,105698,212.969625263872,0.96997235346378,0.05324,9.183572,E,20.865332,19.330763,18.67134,18.28618,18.198761,18.025372,17.915863,17.720903,17.815992,1.5345688,0.6594219,0.38516045,0.17338943,0.109508514,0.19495964,-0.09508896,-0.24727811,-0.40696716,-0.09397409,-0.102902055,0.08727676,0.113142125,0.20159885,0.23299137,0.49175364,0.16848637,-0.83981866,0.04329075,-0.27148587,-0.7398157,-0.21523315,-1.1926222,-1.6301197,-2.0099647,-0.1175558948596711,-2.496237308017547,3.1974874,3.262706,,,5,4,5,3
